,ID,N_C,N_E,sample,cit,year,design,sound,sound_type,db,task,measure,mean_C,var_C,mean_E,var_E,var_type,journal,IF,d,d_var,g,g_var,CI95_L,CI95_R,reference
67,30,24,24,adults,Johansson et al. (2012),2012,within,music,preferred,65,reading comprehension,prop_correct,62.5,24.5,45.8,35.9,SD,Psychology of Music,2.01,-0.496213553,0.0240287,-0.34384978,0.022470505,-0.773662101,-0.186047628,"Johansson, R., Holmqvist, K., Mossberg, F., & Lindgren, M. (2012). Eye movements and reading comprehension while listening to preferred and non-preferred study music. Psychology of music, 40(3), 339-356."
68,30,24,24,adults,Johansson et al. (2012),2012,within,music,non-preferred,65,reading comprehension,prop_correct,62.5,24.5,40.2,21,SD,Psychology of Music,2.01,-0.961102317,0.031276049,-0.665993135,0.029247884,-1.264617075,-0.594218175,"Johansson, R., Holmqvist, K., Mossberg, F., & Lindgren, M. (2012). Eye movements and reading comprehension while listening to preferred and non-preferred study music. Psychology of music, 40(3), 339-356."
69,30,24,24,adults,Johansson et al. (2012),2012,within,noise,cafe,65,reading comprehension,prop_correct,62.5,24.5,50,29.5,SD,Psychology of Music,2.01,-0.450048675,0.023561396,-0.311859958,0.022033504,-0.72614817,-0.14427564,"Johansson, R., Holmqvist, K., Mossberg, F., & Lindgren, M. (2012). Eye movements and reading comprehension while listening to preferred and non-preferred study music. Psychology of music, 40(3), 339-356."
70,30,24,24,adults,Johansson et al. (2012),2012,within,music,preferred,65,reading comprehension,reading_speed,198.5,17.5,202,18,SD,Psychology of Music,2.01,-0.197050433,0.021810079,-0.136545541,0.020395755,-0.470469133,0.089360605,"Johansson, R., Holmqvist, K., Mossberg, F., & Lindgren, M. (2012). Eye movements and reading comprehension while listening to preferred and non-preferred study music. Psychology of music, 40(3), 339-356."
71,30,24,24,adults,Johansson et al. (2012),2012,within,music,non-preferred,65,reading comprehension,reading_speed,198.5,17.5,201,17.5,SD,Psychology of Music,2.01,-0.142857143,0.021613026,-0.098992454,0.020211481,-0.416795059,0.140499925,"Johansson, R., Holmqvist, K., Mossberg, F., & Lindgren, M. (2012). Eye movements and reading comprehension while listening to preferred and non-preferred study music. Psychology of music, 40(3), 339-356."
72,30,24,24,adults,Johansson et al. (2012),2012,within,noise,cafe,65,reading comprehension,reading_speed,198.5,17.5,200.5,21.5,SD,Psychology of Music,2.01,-0.099086381,0.02149974,-0.068661628,0.020105542,-0.373736059,0.182096464,"Johansson, R., Holmqvist, K., Mossberg, F., & Lindgren, M. (2012). Eye movements and reading comprehension while listening to preferred and non-preferred study music. Psychology of music, 40(3), 339-356."
73,31,15,18,adults,Weinstein (1974),1974,between,noise,teletype,70,proofreading (non-contextual errors),perc_incorrect,28,10.24695077,35.5,15.16575089,SD,Journal of Applied Psychology,3.81,-0.569312832,0.127133087,-0.555427153,0.121007103,-1.237234227,0.126379921,"Weinstein, N. D. (1974). Effect of noise on intellectual performance. Journal of Applied Psychology, 59(5), 548."
74,31,15,18,adults,Weinstein (1974),1974,between,noise,teletype,70,proofreading (contextual errors),perc_incorrect,42,9.746794345,61.5,18.30300522,SD,Journal of Applied Psychology,3.81,-1.295365404,0.147646033,-1.263771126,0.14053162,-1.998527052,-0.5290152,"Weinstein, N. D. (1974). Effect of noise on intellectual performance. Journal of Applied Psychology, 59(5), 548."
75,32,29,29,adults,Weinstein (1977),1977,within,speech,native,68,proofreading (non-contextual errors),perc_incorrect,45.35,NA,46.1,NA,NA,Journal of Applied Psychology,3.81,-0.042360867,0.017721855,-0.029534149,0.016776862,-0.295086012,0.212654054,"Weinstein, N. D. (1977). Noise and intellectual performance: A confirmation and extension. Journal of Applied Psychology, 62(1), 104-107"
76,32,29,29,adults,Weinstein (1977),1977,within,speech,native,68,proofreading (contextual errors),perc_incorrect,51.65,NA,59.1,NA,NA,Journal of Applied Psychology,3.81,-0.420784612,0.019273476,-0.293372549,0.018245745,-0.674162603,-0.144661507,"Weinstein, N. D. (1977). Noise and intellectual performance: A confirmation and extension. Journal of Applied Psychology, 62(1), 104-107"
77,33,36,36,adults,"Martin et al. (1988), Exp.1",1988,within,speech,native,82,reading comprehension,perc_correct,72.1,NA,62.6,NA,NA,Journal of Memory and Language,5.218,-0.284239582,0.014839317,-0.199281743,0.014205683,-0.511712601,-0.044497228,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
78,33,36,36,adults,"Martin et al. (1988), Exp.1",1988,within,speech,random (native),82,reading comprehension,perc_correct,72.1,NA,65.2,NA,NA,Journal of Memory and Language,5.218,-0.250799631,0.014711721,-0.175836832,0.014083535,-0.47798787,-0.012785508,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
79,33,36,36,adults,"Martin et al. (1988), Exp.1",1988,within,music,instrumental,82,reading comprehension,perc_correct,72.1,NA,72.3,NA,NA,Journal of Memory and Language,5.218,0.006564425,0.014263449,0.00460235,0.013654405,-0.222607298,0.23545279,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
80,33,36,36,adults,"Martin et al. (1988), Exp.1",1988,within,music,random tones,82,reading comprehension,perc_correct,72.1,NA,67.2,NA,NA,Journal of Memory and Language,5.218,-0.160828401,0.014447605,-0.112757568,0.013830698,-0.387861097,0.073146529,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
81,33,36,36,adults,"Martin et al. (1988), Exp.1",1988,within,noise,white,82,reading comprehension,perc_correct,72.1,NA,70.4,NA,NA,Journal of Memory and Language,5.218,-0.055797608,0.014285345,-0.039119973,0.013675366,-0.283799113,0.174612426,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
82,34,36,36,adults,"Martin et al. (1988), Exp.2",1988,within,music,instrumental,82,reading comprehension,perc_correct,67,NA,69,NA,NA,Journal of Memory and Language,5.218,0.031409668,0.014270177,0.02202147,0.013660846,-0.198352296,0.259815819,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
83,34,36,36,adults,"Martin et al. (1988), Exp.2",1988,within,music,lyrical,82,reading comprehension,perc_correct,67,NA,60,NA,NA,Journal of Memory and Language,5.218,-0.109933838,0.01434933,-0.077075145,0.013736619,-0.337279675,0.122157344,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
84,35,48,48,adults,"Martin et al. (1988), Exp.4",1988,within,noise,white,82,reading comprehension,perc_correct,69.4,NA,67.3,NA,NA,Journal of Memory and Language,5.218,-0.148936355,0.010816001,-0.10501124,0.010471747,-0.34711685,0.054022845,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
85,35,48,48,adults,"Martin et al. (1988), Exp.4",1988,within,speech,native,82,reading comprehension,perc_correct,69.4,NA,57.8,NA,NA,Journal of Memory and Language,5.218,-0.440603385,0.011735702,-0.310658252,0.011362176,-0.642458159,-0.224611604,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
86,35,48,48,adults,"Martin et al. (1988), Exp.4",1988,within,speech,foreign,82,reading comprehension,perc_correct,69.4,NA,63.8,NA,NA,Journal of Memory and Language,5.218,-0.213061731,0.010940161,-0.150224413,0.010591956,-0.411361393,-0.007925863,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
87,36,48,48,adults,"Martin et al. (1988), Exp.5",1988,within,noise,white,82,reading comprehension,perc_correct,67.5,NA,60.2,NA,NA,Journal of Memory and Language,5.218,-0.300975552,0.011181873,-0.212210214,0.010825974,-0.500081034,-0.092213099,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
88,36,48,48,adults,"Martin et al. (1988), Exp.5",1988,within,speech,non-word,82,reading comprehension,perc_correct,67.5,NA,59.2,NA,NA,Journal of Memory and Language,5.218,-0.284427068,0.011130058,-0.200542299,0.010775808,-0.483324982,-0.076403151,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
89,36,48,48,adults,"Martin et al. (1988), Exp.5",1988,within,speech,random words,82,reading comprehension,perc_correct,67.5,NA,51.9,NA,NA,Journal of Memory and Language,5.218,-0.474734633,0.011902804,-0.334723328,0.011523959,-0.67752399,-0.256713148,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
90,37,9,9,children,"Cool et al. (1994), Exp.2",1994,within,music,radio/ generic,NA,reading comprehension,reading_speed,92.71,36.25,85.23,36.7,SD,The Journal of Experimental Education,1.638,0.20504548,0.058251916,0.132710531,0.047522895,-0.242072663,0.612477401,"Cool, V. A., Yarbrough, D. B., Patton, J. E., Runde, R., & Keith, T. Z. (1994). Experimental effects of radio and television distractors on children's performance on mathematics and reading assignments. The Journal of experimental education, 62(3), 181-194"
91,37,9,9,children,"Cool et al. (1994), Exp.2",1994,within,speech,movies,NA,reading comprehension,reading_speed,92.71,36.25,74.62,61,SD,The Journal of Experimental Education,1.638,0.310048189,0.059794795,0.200670894,0.048781602,-0.152852999,0.71294005,"Cool, V. A., Yarbrough, D. B., Patton, J. E., Runde, R., & Keith, T. Z. (1994). Experimental effects of radio and television distractors on children's performance on mathematics and reading assignments. The Journal of experimental education, 62(3), 181-194"
92,37,9,9,children,"Cool et al. (1994), Exp.2",1994,within,music,radio/ generic,NA,reading comprehension,prop_correct,84,13.8,81,17.75,SD,The Journal of Experimental Education,1.638,-0.180796322,0.057985014,-0.117015873,0.047305152,-0.589594957,0.262995149,"Cool, V. A., Yarbrough, D. B., Patton, J. E., Runde, R., & Keith, T. Z. (1994). Experimental effects of radio and television distractors on children's performance on mathematics and reading assignments. The Journal of experimental education, 62(3), 181-194"
93,37,9,9,children,"Cool et al. (1994), Exp.2",1994,within,speech,movies,NA,reading comprehension,prop_correct,84,13.8,79.39,13.55,SD,The Journal of Experimental Education,1.638,-0.33701593,0.060292575,-0.218125086,0.049187699,-0.739096164,0.130293193,"Cool, V. A., Yarbrough, D. B., Patton, J. E., Runde, R., & Keith, T. Z. (1994). Experimental effects of radio and television distractors on children's performance on mathematics and reading assignments. The Journal of experimental education, 62(3), 181-194"
94,38,91,91,children,Mitchell (1949),1949,within,music,radio/ generic,NA,reading test (composite),reading_score,147.31,NA,147.2,NA,NA,The Journal of Educational Research,1.218,-0.008100851,0.005642747,-0.005756322,0.005548833,-0.154034515,0.137968203,"Mitchell, A. H. (1949). The effect of radio programs on silent reading achievement of ninety-one sixth grade students. The Journal of Educational Research, 42(6), 460-470."
95,39,33,30,adults,Armstrong et al. (1991),1991,between,speech,TV ads,NA,reading comprehension,reading_score,9.23,NA,7.59,NA,NA,Communications Monographs,2.029,-0.638224099,0.066869141,-0.630344789,0.065228243,-1.130925272,-0.129764306,"Armstrong, G. B., Boiarsky, G. A., & Mares, M. L. (1991). Background television and reading performance. Communications Monographs, 58(3), 235-253."
96,39,33,32,adults,Armstrong et al. (1991),1991,between,speech,TV drama,NA,reading comprehension,reading_score,9.23,NA,7.96,NA,NA,Communications Monographs,2.029,-0.488754698,0.063390578,-0.482913009,0.061884321,-0.970493573,0.004667555,"Armstrong, G. B., Boiarsky, G. A., & Mares, M. L. (1991). Background television and reading performance. Communications Monographs, 58(3), 235-253."
97,40,30,30,children,"Pool et al. (2000), Exp.1",2000,between,speech,TV soap opera (native),60,reading comprehension,prop_correct,0.755,0.095,0.72,0.085,SD,Communication Research,1.976,-0.388290137,0.067923077,-0.383247408,0.066170297,-0.88742973,0.120934914,"Pool, M. M., Van der Voort, T. H., Beentjes, J. W., & Koolstra, C. M. (2000). Background television as an inhibitor of performance on easy and difficult homework assignments. Communication Research, 27(3), 293-326."
98,40,30,30,children,"Pool et al. (2000), Exp.1",2000,between,music,TV music videos,60,reading comprehension,prop_correct,0.755,0.095,0.735,0.09,SD,Communication Research,1.976,-0.216137291,0.067055961,-0.213330313,0.065325558,-0.714284065,0.28762344,"Pool, M. M., Van der Voort, T. H., Beentjes, J. W., & Koolstra, C. M. (2000). Background television as an inhibitor of performance on easy and difficult homework assignments. Communication Research, 27(3), 293-326."
101,41,48,24,children,"Pool et al. (2000), Exp.2",2000,between,speech,TV soap opera (native),60,reading comprehension,prop_correct,0.76,0.105,0.69,0.15,SD,Communication Research,1.976,-0.57548673,0.064799896,-0.5692987,0.063413842,-1.06286796,-0.07572944,"Pool, M. M., Van der Voort, T. H., Beentjes, J. W., & Koolstra, C. M. (2000). Background television as an inhibitor of performance on easy and difficult homework assignments. Communication Research, 27(3), 293-326."
102,41,48,24,children,"Pool et al. (2000), Exp.2",2000,between,music,TV music videos,60,reading comprehension,prop_correct,0.76,0.105,0.75,0.085,SD,Communication Research,1.976,-0.101136957,0.062571033,-0.100049463,0.061232653,-0.585056021,0.384957095,"Pool, M. M., Van der Voort, T. H., Beentjes, J. W., & Koolstra, C. M. (2000). Background television as an inhibitor of performance on easy and difficult homework assignments. Communication Research, 27(3), 293-326."
105,42,52,52,children,Dockrell & Shield (2006),2006,between,noise,children babble,65,reading comprehension,reading_score,33.45,11.62,27.59,12.23,SD,British Educational Research Journal,1.124,-0.491243963,0.039621734,-0.487623,0.039039782,-0.874889352,-0.100356647,"Dockrell, J. E., & Shield, B. M. (2006). Acoustical barriers in classrooms: The impact of noise on performance in the classroom. British Educational Research Journal, 32(3), 509-525."
106,42,52,52,children,Dockrell & Shield (2006),2006,between,noise,children babble + environmental,65,reading comprehension,reading_score,33.45,11.62,39.48,8.95,SD,British Educational Research Journal,1.124,0.581413284,0.040086738,0.577127683,0.039497956,0.187595465,0.966659901,"Dockrell, J. E., & Shield, B. M. (2006). Acoustical barriers in classrooms: The impact of noise on performance in the classroom. British Educational Research Journal, 32(3), 509-525."
107,43,42,42,adults,"Hyönä & Ekholm (2016), Exp.1",2016,within,speech,native,82.5,reading comprehension,perc_correct,78,15,74.5,13,SD,PloS One,3.057,-0.24577895,0.012594806,-0.17287648,0.01213546,-0.457171097,-0.025339725,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
108,43,42,42,adults,"Hyönä & Ekholm (2016), Exp.1",2016,within,speech,foreign,82.5,reading comprehension,perc_correct,78,15,78,14.5,SD,PloS One,3.057,0,0.01222555,0,0.011779671,-0.212727018,0.212727018,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
109,43,42,42,adults,"Hyönä & Ekholm (2016), Exp.1",2016,within,speech,native,82.5,reading comprehension,reading_speed,5056.5,2126,5121,1807,SD,PloS One,3.057,-0.032090491,0.012231845,-0.022571872,0.011785736,-0.244281646,0.18128191,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
110,43,42,42,adults,"Hyönä & Ekholm (2016), Exp.1",2016,within,speech,foreign,82.5,reading comprehension,reading_speed,5056.5,2126,4881.5,1695,SD,PloS One,3.057,0.087881536,0.01227276,0.061814287,0.011825159,-0.12687327,0.299401438,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
111,44,36,36,adults,"Hyönä & Ekholm (2016), Exp.2",2016,within,speech,scrambled-Different,82.5,reading comprehension,reading_speed,4120,1640.5,4534.5,2022,SD,PloS One,3.057,-0.218444369,0.014603446,-0.153152401,0.013979884,-0.445473395,0.01801391,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
112,44,36,36,adults,"Hyönä & Ekholm (2016), Exp.2",2016,within,speech,scrambled-Same,82.5,reading comprehension,reading_speed,4120,1640.5,4570,1880,SD,PloS One,3.057,-0.251720913,0.014715022,-0.176482747,0.014086696,-0.478915367,-0.013660807,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
113,45,35,35,adults,"Hyönä & Ekholm (2016), Exp.3",2016,within,speech,native,82.5,reading comprehension,reading_speed,4443,1751.5,4797.5,1979,SD,PloS One,3.057,-0.187699786,0.014929093,-0.131511214,0.01427295,-0.417688803,0.050631445,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
114,45,35,35,adults,"Hyönä & Ekholm (2016), Exp.3",2016,within,speech,scrambled,82.5,reading comprehension,reading_speed,4443,1751.5,5050.5,2333,SD,PloS One,3.057,-0.278893143,0.015241212,-0.195405529,0.014571351,-0.509290749,-0.036100285,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
115,46,36,36,adults,"Hyönä & Ekholm (2016), Exp.4",2016,within,speech,scrambled-Semantic,82.5,reading comprehension,reading_speed,4884.5,1846,5176,1916,SD,PloS One,3.057,-0.154788921,0.014434011,-0.108523259,0.013817684,-0.381843498,0.078947193,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
116,46,36,36,adults,"Hyönä & Ekholm (2016), Exp.4",2016,within,speech,scrambled-Syntactic+Semantic,82.5,reading comprehension,reading_speed,4884.5,1846,5236,1770.5,SD,PloS One,3.057,-0.194099848,0.014531822,-0.13608434,0.013911318,-0.421085295,0.041264009,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
117,47,19,20,adults,Armstrong & Chung (2000),2000,between,speech,native,NA,reading comprehension,num_correct,7.84,1.46,7.7,1.49,SD,Communication Research,1.976,-0.094884274,0.102747002,-0.09294786,0.098596041,-0.708387987,0.522492267,"Armstrong, G. B., & Chung, L. (2000). Background Television and Reading Memory in Context Assessing TV Interference and Facilitative Context Effects on Encoding Versus Retrieval Processes. Communication Research, 27(3), 327-352."
118,48,50,50,adults,"Madsen (1987), Exp.1",1987,between,music,various,75,reading comprehension,num_correct,31.74,6.87,31.04,7.17,SD,NA,NA,-0.099692344,0.040049693,-0.098927441,0.039437477,-0.48816132,0.290306438,"Madsen, C. K. (1987). Background music: Competition for focus of attention. Applications of research in music behavior, 315-325"
119,49,23,23,children,"Sörqvist (2010), Exp.1a",2010,within,noise,aircraft,57.5,reading comprehension,prop_correct,0.28,0.22,0.24,0.2,SD,Journal of Environmental Psychology,2.647,-0.189026526,0.022723764,-0.130780091,0.021183627,-0.467778458,0.102761717,"Sörqvist, P. (2010). Effects of aircraft noise and speech on prose memory: What role for working memory capacity?. Journal of Environmental Psychology, 30(1), 112-118."
120,50,23,23,children,"Sörqvist (2010), Exp.1b",2010,within,speech,native,57.5,reading comprehension,prop_correct,0.28,0.16,0.17,0.11,SD,Journal of Environmental Psychology,2.647,-0.733842238,0.028336174,-0.507716862,0.026415649,-1.02709401,-0.389980657,"Sörqvist, P. (2010). Effects of aircraft noise and speech on prose memory: What role for working memory capacity?. Journal of Environmental Psychology, 30(1), 112-118."
121,51,24,24,adults,"Sörqvist et al. (2010), Exp.1",2010,within,speech,native,65,reading comprehension,prop_correct,0.61,0.17,0.49,0.19,SD,Memory,1.976,-0.659788897,0.026051501,-0.457198852,0.024362133,-0.943961737,-0.332113493,"Sörqvist, P., Ljungberg, J. K., & Ljung, R. (2010). A sub-process view of working memory capacity: Evidence from effects of speech on prose memory. Memory, 18(3), 310-326."
122,52,42,42,adults,"Sörqvist et al. (2010), Exp.2",2010,within,speech,native,65,reading comprehension,prop_correct,0.54,0.15,0.47,0.17,SD,Memory,1.976,-0.43181085,0.013365342,-0.303727963,0.012877893,-0.646285792,-0.201441031,"Sörqvist, P., Ljungberg, J. K., & Ljung, R. (2010). A sub-process view of working memory capacity: Evidence from effects of speech on prose memory. Memory, 18(3), 310-326."
123,53,32,32,adults,Halin et al. (2014),2014,within,speech,native,65,reading comprehension,prop_correct,59.63,NA,56.265,NA,NA,Journal of Applied Research in Memory and Cognition,2.063,-0.149345197,0.01622498,-0.104406189,0.015443169,-0.389272906,0.097867644,"Halin, N., Marsh, J. E., Hellman, A., Hellström, I., & Sörqvist, P. (2014). A shield against distraction. Journal of Applied Research in Memory and Cognition, 3(1), 31-36."
124,54,31,31,adults,"Halin et al. (2014), Exp.1",2014,within,speech,native,65,proofreading (contextual errors),prop_misses,0.2325,0.165,0.2575,0.205,SD,Journal of Experimental Psychology: Applied,2.355,-0.130072498,0.016703767,-0.090856365,0.015872177,-0.373723621,0.120136902,"Halin, N., Marsh, J. E., Haga, A., Holmgren, M., & Sörqvist, P. (2014). Effects of speech on proofreading: Can task-engagement manipulations shield against distraction?. Journal of Experimental Psychology: Applied,20(1), 69."
125,54,31,31,adults,"Halin et al. (2014), Exp.1",2014,within,speech,native,65,proofreading (spelling errors),prop_misses,0.33,0.1575,0.2875,0.1275,SD,Journal of Experimental Psychology: Applied,2.355,0.287621987,0.017248774,0.200905562,0.01639005,0.029444694,0.531297332,"Halin, N., Marsh, J. E., Haga, A., Holmgren, M., & Sörqvist, P. (2014). Effects of speech on proofreading: Can task-engagement manipulations shield against distraction?. Journal of Experimental Psychology: Applied,20(1), 69."
126,55,29,29,adults,"Halin et al. (2014), Exp.2",2014,within,speech,native,65,proofreading (contextual errors),prop_misses,0.2,0.1925,0.2375,0.2075,SD,Journal of Experimental Psychology: Applied,2.355,-0.186611183,0.018014263,-0.13010599,0.017053678,-0.437523509,0.074388235,"Halin, N., Marsh, J. E., Haga, A., Holmgren, M., & Sörqvist, P. (2014). Effects of speech on proofreading: Can task-engagement manipulations shield against distraction?. Journal of Experimental Psychology: Applied,20(1), 69."
127,55,29,29,adults,"Halin et al. (2014), Exp.2",2014,within,speech,native,65,proofreading (spelling errors),prop_misses,0.4225,0.1675,0.3975,0.155,SD,Journal of Experimental Psychology: Applied,2.355,0.154253996,0.01791662,0.107546442,0.016961241,-0.105176276,0.405346214,"Halin, N., Marsh, J. E., Haga, A., Holmgren, M., & Sörqvist, P. (2014). Effects of speech on proofreading: Can task-engagement manipulations shield against distraction?. Journal of Experimental Psychology: Applied,20(1), 69."
128,56,54,54,adults,Haapakangas et al. (2011),2011,within,speech,native,48,proofreading (contextual errors),prop_correct,19.2,5.9,18.4,6.3,SD,Acta Acustica United with Acustica,0.897,-0.130671509,0.009589942,-0.092304024,0.009319181,-0.318023997,0.060396756,"Haapakangas, A., Kankkunen, E., Hongisto, V., Virjonen, P., Oliva, D., & Keskinen, E. (2011). Effects of five speech masking sounds on performance and acoustic satisfaction. Implications for open-plan offices. Acta Acustica united with Acustica, 97(4), 641-655"
129,56,54,54,adults,Haapakangas et al. (2011),2011,within,speech,native,48,proofreading (non-contextual errors),prop_correct,19.4,5.2,18.6,5,SD,Acta Acustica United with Acustica,0.897,-0.156658395,0.009625442,-0.110660697,0.009353679,-0.343991287,0.035129238,"Haapakangas, A., Kankkunen, E., Hongisto, V., Virjonen, P., Oliva, D., & Keskinen, E. (2011). Effects of five speech masking sounds on performance and acoustic satisfaction. Implications for open-plan offices. Acta Acustica united with Acustica, 97(4), 641-655"
131,57,24,24,adults,Baker & Madell (1965),1965,within,speech,native,NA,reading comprehension,perc_correct,79.5,18.9,49,31.5,SD,Journal of Educational Psychology,3.256,-1.014112885,0.032396141,-0.702726659,0.03029534,-1.321829502,-0.639531682,"Baker, R. W., & Madell, T. O. (1965). A continued investigation of susceptibility to distraction in academically underachieving and achieving male college students.Journal of Educational Psychology,56(5), 254"
132,58,40,40,adults,Vasilev et al. (n.d.),2016,within,noise,speech-spectrum,60,reading comprehension,perc_correct,0.9363636,0.2443819,0.9272727,0.2599839,SD,NA,NA,-0.03593229,0.012845115,-0.025249666,0.012352696,-0.253076487,0.182602834,Vasilev et al. (n.d.). Unpublished study.
133,58,40,40,adults,Vasilev et al. (n.d.),2016,within,speech,foreign,60,reading comprehension,perc_correct,0.9363636,0.2443819,0.9318182,0.2523446,SD,NA,NA,-0.018285474,0.012838974,-0.012849225,0.012346791,-0.235719143,0.199856021,Vasilev et al. (n.d.). Unpublished study.
134,58,40,40,adults,Vasilev et al. (n.d.),2016,within,speech,native,60,reading comprehension,perc_correct,0.9363636,0.2443819,0.9090909,0.287807,SD,NA,NA,-0.100251468,0.012901335,-0.070446834,0.012406761,-0.316626976,0.120004742,Vasilev et al. (n.d.). Unpublished study.
135,58,40,40,adults,Vasilev et al. (n.d.),2016,within,noise,speech-spectrum,60,reading comprehension,reading_speed,3040,1244,2960,1354,SD,NA,NA,0.061214394,0.012860879,0.043015432,0.012367856,-0.157943692,0.27800289,Vasilev et al. (n.d.). Unpublished study.
136,58,40,40,adults,Vasilev et al. (n.d.),2016,within,speech,foreign,60,reading comprehension,reading_speed,3040,1244,3150,1426,SD,NA,NA,-0.081127172,0.012879071,-0.057008167,0.012385351,-0.297684373,0.138570436,Vasilev et al. (n.d.). Unpublished study.
137,58,40,40,adults,Vasilev et al. (n.d.),2016,within,speech,native,60,reading comprehension,reading_speed,3040,1244,3370,1616,SD,NA,NA,-0.218556953,0.013143417,-0.153580249,0.012639563,-0.434681409,0.006027771,Vasilev et al. (n.d.). Unpublished study.
138,59,22,20,children,"Falcon (2017), Sample 1",2017,between,music,classical,55,reading comprehension,num_correct,5.86,2.1,5.35,1.694,SD,NA,NA,-0.265916327,0.096296349,-0.260899037,0.092696806,-0.85764358,0.335845505,"Falcon, E. (2017). The relationship between background classical music and reading comprehension on seventh and eighth grade students (Doctoral dissertation, St. Thomas University)."
139,60,25,28,children,"Falcon (2017), Sample 2",2017,between,music,classical,55,reading comprehension,num_correct,5.24,2.204,7.68,1.389,SD,NA,NA,1.341684065,0.092696513,1.321856222,0.08997696,0.733931491,1.909780952,"Falcon, E. (2017). The relationship between background classical music and reading comprehension on seventh and eighth grade students (Doctoral dissertation, St. Thomas University)."
140,61,20,20,adults,Ahuja (2016),2016,within,music,liked,60,reading comprehension,num_correct,2.45,0.887,1.6,0.681,SD,NA,NA,-1.025741489,0.039179867,-0.705615324,0.036108165,-1.357153942,-0.612269717,"Ahuja, J. K. (2016). THE EFFECTS OF BACKGROUND MUSIC ON COGNITIVE PERFORMANCE."
141,61,20,20,adults,Ahuja (2016),2016,within,music,disliked,60,reading comprehension,num_correct,2.45,0.887,2.35,0.671,SD,NA,NA,-0.120732752,0.02586077,-0.083052973,0.023833285,-0.418488883,0.186681999,"Ahuja, J. K. (2016). THE EFFECTS OF BACKGROUND MUSIC ON COGNITIVE PERFORMANCE."
142,62,31,29,adults,Kou et al. (2017),2017,between,music,pop (vocal),65,reading comprehension,num_correct,6.5,2.52,7.43,2.48,SD,Psychology of Music,1.394,0.371885528,0.067893314,0.367055846,0.066141302,-0.137015999,0.871127691,"Kou, S., McClelland, A., & Furnham, A. (2017). The effect of background music and noise on the cognitive test performance of Chinese introverts and extraverts. Psychology of Music, 0305735617704300."
